Name_bal,BSE Code_bal,NSE Code_bal,Industry_bal,Current Price_bal,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization_bal,join_key,Name_rat,BSE Code_rat,NSE Code_rat,Industry_rat,Current Price_rat,Market Capitalization_rat,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter,t_1_price,future_return,signal
Timken India,522113.0,TIMKEN,Bearings,4306.75,25.36,75.22,0.0,2342.05,0.0,30.55,2987.58,1316.83,0.0,473.53,852.9,104.13,160.52,1848.75,473.2,0.0,0.0,16.53,2987.58,1384.38,19.32,666.69,651.95,10.0,331.36,5.16,385.73,7.52,30.55,978.37,843.31,1316.83,53.45,541.37,413.19,229.62,228.3,35.35,23.08,8.4,3.24,818.32,794.6,230.62,32394.84,522113.0_TIMKEN,Timken India,522113.0,TIMKEN,Bearings,4306.75,32394.84,82.61,0.04,13.42,14.15,0.01,17.61,57.7,1.66,0.0,34.78,32088.84,7.52,321.37,2.78,2.5,0.0,6.0,4.0,1.05,1.15,62838.0,57.7,17.65,81.79,4.44,,132.1,17.67,613.97,141.53,82.02,81.79,141.76,11.45,7.2,0.07,1.05,23.62,270.83,27.99,16.44,21.13,70040.0,4697.69,0.09077378533697095,Buy
Tinna Rubber,530475.0,__NA__,Miscellaneous,1873.15,85.98,17.13,0.0,110.65,58.68,1.72,267.72,139.72,0.0,65.35,129.81,6.64,31.46,92.82,85.43,0.0,0.0,108.17,267.72,45.79,1.21,43.62,29.86,10.0,1.77,0.92,33.92,1.71,60.4,56.19,74.37,139.72,0.33,28.23,30.94,38.08,66.28,66.46,78.13,93.59,74.35,76.59,81.66,82.06,3208.61,530475.0___NA__,Tinna Rubber,530475.0,__NA__,Miscellaneous,1873.15,3208.61,79.64,0.16,25.11,17.49,0.67,36.01,73.55,1.72,0.0,61.09,3292.82,1.71,74.6,4.95,0.58,5.93,5.0,6.0,1.58,1.8,21711.0,73.55,26.0,30.02,3.13,,44.26,22.3,198.69,47.55,61.3,30.02,78.83,25.39,0.74,-0.08,0.0,0.0,56.13,23.57,11.08,24.39,20218.0,2138.36,0.1415850305634893,Buy
Tinna Trade,541741.0,__NA__,Trading,375.7,32.75,8.56,0.0,18.27,27.53,0.0,98.7,2.52,0.0,2.13,0.21,0.0,7.56,88.27,68.0,0.0,0.0,2.05,98.7,49.8,0.0,27.46,47.28,10.0,9.49,0.34,34.3,0.86,27.53,41.96,0.39,2.52,0.0,44.79,25.5,63.65,,25.78,10.78,53.97,,1.01,3.42,6.8,1478.15,541741.0___NA__,Tinna Trade,541741.0,__NA__,Trading,375.7,1478.15,12317.9,0.0,11.99,0.14,1.22,0.43,55.4,0.29,0.0,34.16,1501.41,3.93,31.33,14.14,0.89,0.0,8.0,4.0,2.83,3.23,5053.0,55.4,4.71,70.34,3.16,,59.97,4.34,9.94,59.52,54.26,70.34,43.44,44.53,0.0,0.0,0.0,0.0,33.91,3.39,-3.38,-9.79,5259.0,354.66,-0.05600212935853065,Sell
Tips Films,543614.0,TIPSFILMS,Entertainment / Electronic Media Software,565.3,0.0,4.32,0.0,86.5,5.5,12.05,104.31,21.44,0.0,8.68,14.07,0.0,0.0,64.96,10.67,0.0,0.0,2.31,104.31,54.29,0.0,0.0,9.6,10.0,9.37,13.9,5.92,0.43,17.55,86.86,12.76,21.44,0.0,0.0,,,,0.0,,,,0.0,,,244.37,543614.0_TIPSFILMS,Tips Films,543614.0,TIPSFILMS,Entertainment / Electronic Media Software,565.3,244.37,224.19,0.89,2.69,0.87,0.0,1.19,74.98,0.41,0.0,41.23,235.0,0.43,210.09,,6.09,0.57,7.0,5.0,0.62,1.37,8443.0,74.98,1.4,45.13,2.96,,211.18,0.92,109.17,45.13,,45.13,0.0,24.97,0.05,0.0,0.0,0.0,212.66,38.04,20.91,30.49,8579.0,626.16,0.10765964974349906,Buy
Tips Industries,532375.0,TIPSINDLTD,Entertainment / Electronic Media Software,428.4,5.01,12.84,0.0,166.66,0.0,0.0,338.87,13.56,0.0,8.44,7.95,0.02,91.28,275.62,83.41,0.0,0.0,3.22,338.87,193.57,5.01,0.0,26.34,1.0,131.19,35.27,14.68,12.84,0.0,98.21,5.11,13.56,0.0,102.47,43.54,78.32,148.52,0.0,8.47,64.24,132.82,14.58,15.21,24.61,5501.82,532375.0_TIPSINDLTD,Tips Industries,532375.0,TIPSINDLTD,Entertainment / Electronic Media Software,432.35,5552.55,43.67,1.41,30.9,47.85,0.03,80.57,63.86,3.34,0.0,41.23,5426.37,12.84,13.98,,3.3,73.4,7.0,6.0,0.91,1.48,57209.0,63.86,63.23,39.8,2.96,,94.25,50.43,55.8,39.8,,39.8,,25.88,2.09,1.24,7.26,8.17,10.61,88.63,44.99,64.02,37288.0,475.03,0.1088468720821662,Buy
Tirth Plastic,526675.0,__NA__,Trading,37.69,0.0,4.45,0.0,-2.05,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.46,0.0,0.0,0.0,2.86,0.97,0.0,1.29,0.0,10.0,0.06,0.33,0.15,,0.0,0.9,0.0,0.0,0.0,1.04,2.43,1.51,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.78,526675.0___NA__,Tirth Plastic,526675.0,__NA__,Trading,37.69,16.78,,0.0,,0.0,0.0,0.0,31.11,0.0,0.0,34.16,16.72,,,0.0,0.3,,3.0,1.0,0.0,1.23,8541.0,31.11,0.0,,3.16,,,0.0,,,,,,68.88,0.0,0.0,0.0,0.0,,-0.83,-0.67,-0.83,6441.0,37.69,0.0,Hold
Tirupati Foam,540904.0,__NA__,Miscellaneous,93.11,40.4,4.44,,26.34,,,85.27,,,,36.64,0.0,0.01,48.31,38.93,,,,85.27,34.76,2.24,27.64,17.88,10.0,0.56,,12.21,0.44,46.55,37.08,38.58,69.25,0.0,41.96,35.1,29.53,33.57,55.1,43.6,34.29,44.04,36.85,30.75,22.6,41.03,540904.0___NA__,Tirupati Foam,540904.0,__NA__,Miscellaneous,93.11,41.03,19.54,1.07,1.33,2.43,1.31,7.01,72.14,9.07,0.0,55.84,80.87,0.44,69.84,3.17,0.53,,7.0,5.0,1.2,2.8,1013.0,72.14,8.02,62.76,4.46,,120.04,8.83,86.54,131.91,54.72,62.76,123.88,27.86,0.0,0.0,0.0,0.0,66.03,10.02,2.13,6.7,1006.0,97.83,0.050692729030179344,Buy
Tirupati Forge,-1.0,TIRUPATIFL,Castings & Forgings,23.5,13.13,20.74,0.0,29.18,7.88,2.22,74.3,26.15,0.0,10.95,19.21,7.68,0.0,46.08,20.76,0.0,0.0,1.0,74.3,34.83,2.07,22.33,15.83,2.0,4.49,0.0,8.25,9.8,10.1,29.65,15.2,26.15,0.17,12.69,8.92,1.74,3.15,7.6,4.84,4.42,7.09,13.93,10.05,4.63,243.64,-1.0_TIRUPATIFL,Tirupati Forge,-1.0,TIRUPATIFL,Castings & Forgings,23.5,243.64,36.69,0.0,4.88,10.57,0.26,15.41,57.69,4.26,0.0,32.3,252.28,10.37,4.81,3.56,1.14,65.53,4.0,4.0,1.75,1.26,50841.0,57.69,14.12,52.53,3.65,,100.67,13.81,8.33,127.9,44.17,52.53,119.54,42.31,0.0,0.0,0.0,0.0,3.7,31.78,17.74,29.18,42478.0,23.81,0.013191489361702073,Hold
Tirupati Sarjan,531814.0,__NA__,Construction,14.17,59.6,16.5,0.0,67.58,20.44,35.73,218.35,13.97,0.0,5.74,8.98,0.0,13.88,128.01,86.29,0.18,0.0,69.19,218.35,62.37,0.0,83.54,38.92,5.0,2.98,27.14,41.1,3.3,56.17,51.65,8.23,13.97,0.0,43.0,28.41,30.38,47.05,56.63,48.4,33.7,36.74,4.16,4.95,4.89,46.75,531814.0___NA__,Tirupati Sarjan,531814.0,__NA__,Construction,14.17,46.75,11.84,0.0,0.57,1.85,0.71,4.81,40.38,12.52,0.0,33.28,103.37,3.3,25.48,2.3,0.52,0.0,7.0,6.0,0.91,2.54,5840.0,40.38,11.77,73.32,2.89,,111.88,5.89,26.2,161.43,85.33,73.32,173.44,59.62,0.0,0.0,0.0,0.0,24.28,9.06,1.6,3.87,5721.0,13.4,-0.05434015525758642,Sell
Tirupati Starch,524582.0,__NA__,Miscellaneous,244.0,153.5,9.59,1.26,43.92,61.7,26.97,226.42,113.36,0.0,58.07,92.53,26.87,0.29,94.63,73.52,0.0,0.0,0.03,226.42,79.23,0.0,48.64,34.4,10.0,2.16,1.68,7.78,0.81,88.67,31.57,55.29,113.36,45.64,5.68,17.5,11.37,9.76,54.64,22.79,49.49,37.87,70.69,60.05,63.9,233.97,524582.0___NA__,Tirupati Starch,524582.0,__NA__,Miscellaneous,244.0,233.97,113.06,0.0,4.36,1.05,2.87,4.16,73.04,3.52,0.0,34.07,385.31,0.96,55.8,6.85,0.63,0.65,3.0,3.0,1.55,3.7,10645.0,73.04,5.22,41.02,3.2,,91.9,5.81,52.06,110.75,13.28,41.02,83.02,26.71,0.0,0.0,-0.04,0.26,56.87,12.84,4.02,16.01,10698.0,215.54,-0.11663934426229511,Sell
Tirupati Tyres,539040.0,__NA__,Trading,24.38,0.0,24.44,0.0,29.56,0.0,0.0,54.06,0.0,0.0,0.0,0.0,0.0,0.0,54.06,0.06,0.0,0.0,0.0,54.06,54.0,0.0,0.0,1.25,10.0,0.04,0.0,0.0,2.44,0.0,53.91,0.0,0.0,0.0,1.15,1.42,1.48,0.81,0.11,0.09,0.0,0.0,0.0,0.0,0.17,59.59,539040.0___NA__,Tirupati Tyres,539040.0,__NA__,Trading,24.38,59.59,662.13,0.0,1.11,0.17,0.0,0.17,0.0,0.2,0.0,34.16,59.55,2.44,22.09,,901.0,,3.0,1.0,0.01,1.0,9888.0,0.0,0.17,1112.8,3.16,,48037.56,0.22,4.28,1112.8,,1112.8,,99.99,0.0,0.0,0.0,0.0,22.05,0.8,0.8,0.8,9354.0,24.62,0.009844134536505414,Hold
Titaanium Ten,539985.0,__NA__,Textiles - Products,34.5,41.86,6.73,0.0,10.59,42.14,4.45,63.1,14.69,0.0,8.44,2.83,1.51,0.3,55.1,39.02,0.0,0.0,0.0,63.1,51.34,0.0,7.88,42.39,10.0,1.99,0.0,3.04,0.67,46.59,54.65,6.25,14.69,1.07,48.82,41.21,31.21,24.58,41.64,36.96,30.41,26.17,5.03,5.99,6.79,23.21,539985.0___NA__,Titaanium Ten,539985.0,__NA__,Textiles - Products,34.5,23.21,16.7,0.0,1.34,2.14,2.42,8.69,67.06,9.99,0.0,31.14,63.08,0.67,25.74,8.29,1.21,0.28,5.0,5.0,2.95,4.05,125.0,67.06,7.44,53.1,2.37,,98.13,9.98,33.71,94.47,2.66,53.1,44.03,32.93,0.0,0.0,0.0,0.0,23.78,9.87,2.3,9.21,112.0,31.23,-0.09478260869565217,Sell
Titagarh Rail,532966.0,TITAGARH,Engineering,1827.8,165.71,26.93,0.0,2204.12,249.32,103.94,3229.14,868.95,0.0,132.1,913.58,8.21,210.32,1986.81,730.04,0.0,0.0,258.81,3229.14,1291.42,99.46,523.72,532.52,2.0,609.1,535.81,319.44,11.96,353.26,456.07,731.75,868.95,12.28,808.69,677.35,407.97,415.91,846.96,896.49,371.64,128.32,871.28,934.93,933.06,24615.71,532966.0_TITAGARH,Titagarh Rail,532966.0,TITAGARH,Engineering,1827.95,24617.74,85.39,0.03,11.05,10.53,0.07,18.06,42.45,1.88,0.06,43.13,24174.35,13.47,165.66,6.07,2.0,0.0,7.0,3.0,1.41,1.23,292395.0,42.43,15.52,50.44,5.46,,64.63,14.31,281.42,75.4,39.02,50.44,63.97,26.53,17.27,-2.77,1.45,13.72,80.58,17.58,5.11,13.91,224205.0,1907.25,0.04346755662545139,Hold
Titan Biotech,524717.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,599.9,8.31,8.26,0.0,120.18,8.17,0.34,151.57,52.46,0.0,16.57,52.03,2.53,23.18,72.17,19.13,0.0,0.0,1.13,151.57,60.2,1.13,45.57,18.66,10.0,2.84,0.0,3.37,0.83,8.51,55.04,35.89,52.46,13.29,41.05,26.75,23.85,11.21,10.26,21.66,22.06,6.99,27.04,25.9,10.92,495.75,524717.0___NA__,Titan Biotech,524717.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,600.0,495.83,20.95,0.3,3.88,16.76,0.06,20.18,55.88,6.42,0.0,34.7,501.3,0.83,155.43,1.85,1.39,30.69,6.0,4.0,1.16,1.1,15876.0,55.88,21.86,41.51,3.58,,127.61,21.57,316.43,245.26,16.27,41.51,220.01,43.9,0.0,0.0,0.23,0.23,128.38,27.53,17.61,21.86,15756.0,600.73,0.0013835639273212885,Hold
Titan Company,500114.0,TITAN,Diamond Cutting / Jewellery,3409.0,15528.0,89.0,0.0,9304.0,1341.0,14187.0,31547.0,5778.0,0.0,2069.0,3709.0,97.0,2345.0,23942.0,16529.0,0.0,2.0,608.0,31547.0,17607.0,2349.0,19051.0,1018.0,1.0,1526.0,1085.0,1410.0,88.78,9367.0,14739.0,2998.0,4660.0,144.0,7242.0,6409.13,4196.66,2525.99,5638.0,2392.98,1882.43,806.84,2523.0,1566.63,1188.72,302646.32,500114.0_TITAN,Titan Company,500114.0,TITAN,Diamond Cutting / Jewellery,3412.05,302917.1,86.67,0.32,32.26,11.94,1.65,32.91,52.9,1.66,0.0,24.82,316919.1,88.78,105.8,2.22,0.3,0.0,4.0,4.0,1.74,3.12,749319.0,52.9,18.6,7.27,2.38,,114.9,16.62,306.18,170.57,13.05,7.27,176.34,17.57,19.01,0.12,0.04,10.29,133.49,25.08,13.59,30.75,710646.0,4073.97,0.19506306834848924,Buy
Titan Intech,521005.0,__NA__,Computers - Software - Medium / Small,44.05,2.4,11.55,0.0,34.7,0.0,0.28,51.06,13.86,0.0,0.0,27.57,6.63,0.0,16.86,3.01,0.0,0.0,0.0,51.06,14.39,0.0,0.0,7.1,10.0,1.08,2.43,0.0,0.82,0.28,0.74,13.86,13.86,2.66,-1.88,-1.72,-2.78,0.28,0.42,0.0,0.0,0.04,2.38,2.83,3.88,103.74,521005.0___NA__,Titan Intech,521005.0,__NA__,Computers - Software - Medium / Small,44.64,105.13,18.68,0.0,1.78,15.79,0.05,17.79,14.19,6.56,0.0,34.11,106.45,2.36,25.0,,5.6,0.0,8.0,5.0,1.24,0.77,18129.0,14.19,13.5,58.83,3.7,,110.29,13.04,41.37,58.83,,58.83,,85.81,0.0,0.0,0.0,0.0,20.78,22.36,14.34,19.28,12431.0,44.95,0.020431328036322492,Hold
Titan Securities,530045.0,__NA__,Finance & Investments,42.0,0.0,25.02,0.0,64.21,0.0,0.0,91.24,0.89,0.0,0.7,0.01,0.0,75.49,15.39,0.06,63.94,0.0,0.0,91.24,15.33,0.0,13.89,0.0,10.0,1.5,0.0,0.0,2.5,0.0,14.26,0.19,0.89,0.0,18.71,14.27,30.35,,0.0,0.06,15.87,,0.45,0.66,13.34,105.09,530045.0___NA__,Titan Securities,530045.0,__NA__,Finance & Investments,42.0,105.09,10.45,0.0,1.18,11.73,0.0,12.0,73.95,1.36,0.0,23.18,103.59,2.5,35.67,0.43,25.0,0.0,5.0,4.0,0.08,0.96,16589.0,73.95,7.04,0.0,1.78,,721.14,1.52,56.84,897.32,0.0,0.0,897.32,26.04,0.0,0.0,0.0,0.0,31.45,0.88,18.43,19.24,15627.0,40.95,-0.024999999999999932,Hold
TMT (I),522171.0,__NA__,Engineering,3.75,6.49,4.95,0.0,-10.98,0.0,6.15,0.68,0.36,0.0,0.34,0.02,0.0,0.41,0.26,0.22,0.0,0.0,0.0,0.68,0.04,0.0,0.0,0.11,10.0,0.02,0.0,0.14,0.5,6.15,0.04,0.02,0.36,0.0,2.17,3.34,2.94,5.05,5.47,2.4,2.4,4.13,0.02,0.02,0.02,1.86,522171.0___NA__,TMT (I),522171.0,__NA__,Engineering,3.75,1.86,,0.0,,-47.22,,,49.48,-4.08,0.0,43.13,8.33,0.5,-12.17,,1.18,,2.0,3.0,0.0,-0.12,6002.0,49.48,-566.67,,5.46,,,-50.0,,,,,,50.47,0.0,0.0,0.0,0.06,-11.32,-67.23,-56.83,,6003.0,3.48,-0.07200000000000001,Sell
Tokyo Finance,531644.0,__NA__,Finance & Investments,25.21,0.0,6.94,0.0,4.41,0.0,0.0,11.57,0.46,0.0,0.24,0.0,0.0,0.0,1.64,0.2,0.0,0.0,0.0,11.57,1.44,0.0,0.0,0.0,10.0,1.49,0.0,0.0,0.7,0.0,0.87,0.22,0.46,0.0,3.02,-4.57,2.24,8.07,0.0,0.0,6.98,9.97,0.24,0.25,0.27,17.57,531644.0___NA__,Tokyo Finance,531644.0,__NA__,Finance & Investments,24.99,17.42,15.98,0.0,1.54,9.6,0.0,10.1,61.0,7.38,0.0,23.18,15.93,0.7,16.28,,8.2,0.0,6.0,4.0,0.07,1.0,2202.0,61.0,75.69,0.0,1.78,,-23.4,9.77,23.94,0.0,,0.0,,39.0,0.0,0.0,0.0,0.0,14.69,1.38,1.08,1.18,2145.0,22.52,-0.10670368901229675,Sell
Tokyo Plast Intl,500418.0,TOKYOPLAST,Plastics Products,118.35,19.29,9.5,0.0,50.65,11.09,3.52,92.57,53.34,0.0,38.16,39.16,5.55,0.01,44.47,26.38,0.0,0.0,0.22,92.57,35.21,2.27,16.11,16.13,10.0,1.43,2.15,2.62,0.95,14.61,37.02,15.18,53.34,5.27,49.56,50.25,35.38,24.35,15.97,19.06,15.38,21.25,13.56,11.32,12.11,112.43,500418.0_TOKYOPLAST,Tokyo Plast Intl,500418.0,TOKYOPLAST,Plastics Products,118.35,112.43,112.43,0.0,1.87,1.12,0.32,1.68,63.65,2.0,0.0,34.93,130.29,0.95,63.31,1.95,1.08,0.0,6.0,3.0,0.74,1.48,10918.0,63.65,2.67,88.71,3.72,,185.77,2.74,38.72,230.97,27.63,88.71,169.9,36.35,0.0,-0.02,0.0,0.0,61.97,2.81,-0.55,-0.82,10787.0,116.59,-0.014871144909167647,Hold
Torrent Pharma.,500420.0,TORNTPHARM,Pharmaceuticals - Indian - Formulations,2813.45,4018.0,169.0,0.0,6687.0,4530.0,838.56,15061.0,12811.62,0.0,4690.17,8218.0,281.0,173.0,5611.0,5426.0,0.0,0.0,150.83,15061.0,2535.0,80.0,2279.0,1844.0,5.0,839.0,1.33,2093.0,33.84,5368.56,2529.74,8121.45,12811.62,765.4,2401.69,454.98,1337.66,1254.7,4874.13,6038.1,2510.13,1131.76,7064.63,7747.71,3688.44,95215.65,500420.0_TORNTPHARM,Torrent Pharma.,500420.0,TORNTPHARM,Pharmaceuticals - Indian - Formulations,2808.75,95056.59,59.61,1.0,13.85,10.74,0.59,24.42,71.25,2.68,0.0,26.15,98235.59,33.84,202.58,1.19,0.61,43.33,9.0,3.0,0.72,2.16,71154.0,71.25,17.14,62.74,3.36,,57.7,17.38,472.27,88.01,284.42,62.74,309.69,7.34,14.14,0.06,0.04,7.15,183.14,19.82,8.85,20.03,69117.0,3088.02,0.09759192450550043,Buy
Torrent Power,532779.0,TORNTPOWER,Power Generation And Supply,1485.5,11631.8,480.62,0.0,11581.09,9705.33,836.08,33392.48,30941.02,0.0,11671.83,21802.28,2472.36,954.39,8506.36,7813.09,0.0,17.68,237.46,33392.48,2369.17,46.77,800.45,2190.86,10.0,418.74,106.28,1811.92,48.06,10541.41,1334.78,19269.19,30941.02,2624.69,606.4,71.22,-72.31,960.84,7816.56,9715.15,8768.14,9463.44,17326.04,18013.89,16803.99,71395.62,532779.0_TORNTPOWER,Torrent Power,532779.0,TORNTPOWER,Power Generation And Supply,1484.05,71325.93,38.91,1.07,5.9,5.99,0.96,15.89,53.57,4.24,0.0,38.17,82538.99,48.06,250.96,25.31,0.99,0.0,6.0,2.0,0.86,2.62,140153.0,53.57,10.71,29.42,2.52,,26.19,10.56,464.09,29.42,,29.42,,17.1,6.4,0.27,-0.15,21.47,229.08,18.3,7.65,19.58,131393.0,1558.2,0.048939750925614305,Hold
Total Transport,-1.0,TOTAL,Miscellaneous,120.0,33.78,16.13,0.0,59.94,16.17,0.4,157.32,21.13,0.0,6.28,19.53,3.5,6.13,119.96,73.2,0.0,0.0,12.68,157.32,79.05,0.28,0.0,85.68,10.0,22.37,0.0,31.28,1.61,16.57,78.18,14.85,21.13,0.49,59.98,53.88,25.83,20.24,23.29,18.25,20.9,14.7,8.07,9.32,8.02,193.52,-1.0_TOTAL,Total Transport,-1.0,TOTAL,Miscellaneous,118.75,191.5,153.21,0.62,2.5,0.89,0.44,1.63,48.19,3.51,0.0,38.47,202.91,1.61,47.17,,1.64,0.0,2.0,5.0,3.46,1.86,6912.0,48.19,2.87,64.07,3.17,,42.39,4.55,28.68,64.07,,64.07,,51.81,0.0,0.0,0.0,0.0,47.94,14.73,4.06,7.91,6661.0,134.92,0.12433333333333323,Buy
Touchwood Enter.,-1.0,TOUCHWOOD,Miscellaneous,147.88,1.72,11.08,0.0,25.15,0.15,0.11,43.21,5.49,0.0,3.42,4.01,0.0,2.52,35.0,4.84,0.0,0.0,0.0,43.21,30.56,0.0,0.0,7.42,10.0,25.57,0.31,0.94,1.02,0.26,23.11,2.07,5.49,0.0,10.02,6.57,-1.98,-0.51,0.66,0.73,0.7,0.39,2.73,3.4,2.71,163.86,-1.0_TOUCHWOOD,Touchwood Enter.,-1.0,TOUCHWOOD,Miscellaneous,147.88,163.86,45.27,0.24,4.53,9.41,0.05,13.19,64.38,3.57,0.0,44.4,140.01,1.11,32.7,,7.23,0.0,4.0,4.0,0.85,1.06,1882.0,64.38,10.55,82.77,4.44,,55.66,11.32,49.02,82.77,,82.77,,35.62,0.0,0.0,0.0,0.0,18.33,21.09,10.02,15.24,1530.0,143.41,-0.030227211252366777,Hold
Tour. Fin. Corp.,526650.0,TFCILTD,Finance - Term-Lending Institutions,206.9,977.66,90.37,0.0,999.25,829.73,169.1,2105.89,18.89,0.0,3.66,14.52,0.0,461.18,65.09,37.85,350.39,0.0,6.14,2105.89,27.24,0.0,0.0,0.05,10.0,33.55,0.0,0.0,9.04,998.83,72.56,15.23,18.89,0.22,24.89,74.16,130.65,211.37,1359.61,1323.61,1049.96,861.5,16.5,14.35,20.4,1915.8,526650.0_TFCILTD,Tour. Fin. Corp.,526650.0,TFCILTD,Finance - Term-Lending Institutions,207.0,1916.73,21.01,1.15,1.73,4.39,0.9,8.65,7.85,7.7,0.0,27.8,2860.84,9.26,120.57,,1.72,0.0,6.0,2.0,0.12,1.9,92118.0,7.85,10.49,0.08,2.28,,-9.52,10.17,165.38,0.08,,0.08,,89.18,2.94,-10.94,0.04,0.04,112.55,9.46,4.1,8.99,58817.0,196.89,-0.04838086031899477,Hold
Toyam Sports,538607.0,__NA__,Miscellaneous,3.58,0.0,56.53,0.0,276.38,0.0,0.79,354.5,0.39,0.0,0.12,186.05,0.0,9.86,157.36,18.76,0.0,0.0,0.0,354.5,138.6,0.0,0.02,15.72,1.0,4.09,0.09,8.31,42.6,0.79,60.15,0.28,0.39,0.0,9.7,,,,0.0,,,,0.14,,,202.73,538607.0___NA__,Toyam Sports,538607.0,__NA__,Miscellaneous,3.58,202.73,41.8,0.0,0.46,3.96,0.0,2.46,0.0,4.43,0.0,34.07,198.64,56.63,7.81,0.8,8.39,0.0,5.0,2.0,0.13,0.64,51183.0,0.0,2.6,205.51,3.2,,1758.46,2.4,4.47,205.51,,205.51,,99.78,0.23,-0.1,0.0,0.0,1.43,-32.1,-24.39,-32.23,33233.0,4.17,0.16480446927374298,Buy
TPI India,500421.0,__NA__,Packaging,18.69,15.49,4.3,0.0,-18.85,10.55,1.99,8.89,6.57,0.0,3.8,3.76,0.0,0.09,4.79,10.78,0.0,0.0,90.24,8.89,-3.11,0.0,2.66,1.8,1.0,0.12,0.0,3.66,4.3,12.54,-5.79,2.76,6.57,0.0,-11.47,-6.91,8.79,11.33,22.23,22.12,26.45,15.48,3.15,4.16,5.49,80.29,500421.0___NA__,TPI India,500421.0,__NA__,Packaging,18.69,80.29,,0.0,,-19.15,,,75.0,0.04,0.0,26.93,95.66,4.3,-3.39,7.19,0.2,0.0,3.0,2.0,3.01,-0.54,7306.0,75.0,6.15,27.66,1.82,,-49.64,0.45,,6.05,79.09,27.66,57.48,24.98,0.0,0.0,0.0,0.02,-3.49,,216.77,,6829.0,17.18,-0.08079186730872132,Sell
TPL Plastech,526582.0,TPLPLASTEH,Packaging,89.0,30.56,15.6,0.0,114.75,32.26,11.86,231.81,80.35,0.0,24.48,83.83,1.23,0.05,144.28,77.06,0.0,0.0,1.12,231.81,82.05,5.41,69.68,54.77,2.0,5.46,0.09,56.37,7.8,44.12,85.8,55.87,80.35,24.1,61.58,65.56,44.07,31.86,28.56,58.26,36.7,42.85,58.32,62.58,50.86,694.21,526582.0_TPLPLASTEH,TPL Plastech,526582.0,TPLPLASTEH,Packaging,89.0,694.21,34.97,0.68,5.31,8.7,0.23,16.15,74.86,4.35,0.0,26.93,719.31,7.8,16.71,3.83,0.97,0.0,8.0,5.0,1.37,1.75,18504.0,74.86,14.52,63.89,1.82,,89.34,13.34,30.93,83.48,82.98,63.89,102.57,25.04,0.01,0.01,0.0,0.08,14.79,17.21,7.01,13.87,13800.0,91.37,0.02662921348314612,Hold
Tracxn Technolo.,543638.0,TRACXN,Computers - Software - Medium / Small,92.23,0.0,10.35,0.0,60.53,0.0,0.0,113.08,2.4,0.0,2.04,0.2,0.0,68.05,86.2,38.41,0.0,0.0,0.32,113.08,47.79,0.0,0.0,8.34,1.0,4.78,0.02,0.59,10.03,0.0,-1.06,0.36,2.4,0.0,5.5,-4.1,,,0.0,0.0,,,0.27,1.12,,960.16,543638.0_TRACXN,Tracxn Technolo.,543638.0,TRACXN,Computers - Software - Medium / Small,91.9,956.73,147.17,0.0,13.41,6.18,0.0,9.96,34.87,0.95,0.0,34.11,951.95,10.41,6.85,,2.24,0.0,7.0,3.0,0.79,1.48,86613.0,34.87,13.54,36.78,3.7,,189.67,7.68,9.83,36.78,,36.78,,56.07,2.71,-0.66,-7.01,6.35,5.95,11.9,36.59,68.92,54210.0,83.54,-0.0942209693158408,Sell
